aerolinea,origen,destino
WN,IAD,TPA
WN,IND,BWI
WN,IND,JAX
WN,IND,LAS
WN,IND,MCO
WN,IND,MDW
WN,IND,PHX
WN,IND,TPA
WN,ISP,BWI
WN,ISP,FLL
WN,ISP,MCO
WN,ISP,MDW
WN,ISP,PBI
WN,ISP,RSW
WN,ISP,TPA
WN,JAN,BWI
WN,JAN,HOU
WN,JAN,MCO
WN,JAN,MDW
WN,JAX,BHM
WN,JAX,BNA
WN,JAX,FLL
WN,JAX,HOU
WN,JAX,IND
WN,JAX,PHL
WN,JAX,TPA
WN,LAS,ABQ
WN,LAS,ALB
WN,LAS,AMA
WN,LAS,AUS
WN,LAS,BDL
WN,LAS,BNA
WN,LAS,BOI
WN,LAS,BUF
WN,LAS,BUR
WN,LAS,BWI
WN,LAS,CLE
WN,LAS,CMH
WN,LAS,DEN
WN,LAS,ELP
WN,LAS,GEG
WN,LAS,HOU
WN,LAS,IAD
WN,LAS,IND
WN,LAS,ISP
WN,LAS,LAX
WN,LAS,LBB
WN,LAS,LIT
WN,LAS,MAF
WN,LAS,MCI
WN,LAS,MCO
WN,LAS,MDW
WN,LAS,MHT
WN,LAS,MSY
WN,LAS,OAK
WN,LAS,OKC
WN,LAS,OMA
WN,LAS,ONT
WN,LAS,ORF
WN,LAS,PDX
WN,LAS,PHL
WN,LAS,PHX
WN,LAS,PIT
WN,LAS,PVD
WN,LAS,RDU
WN,LAS,RNO
WN,LAS,SAN
WN,LAS,SAT
WN,LAS,SDF
WN,LAS,SEA
WN,LAS,SFO
WN,LAS,SJC
WN,LAS,SLC
WN,LAS,SMF
WN,LAS,SNA
WN,LAS,STL
WN,LAS,TPA
WN,LAS,TUL
WN,LAS,TUS
WN,LAX,ABQ
WN,LAX,AUS
WN,LAX,BNA
WN,LAX,ELP
WN,LAX,HOU
WN,LAX,LAS
WN,LAX,MCI
WN,LAX,MDW
WN,LAX,OAK
WN,LAX,PHX
WN,LAX,RNO
WN,LAX,SAT
WN,LAX,SFO
WN,LAX,SJC
WN,LAX,SLC
