aerolinea,origen,destino,fecha_partida,distancia
WN,TPA,ORF,2026-08-18T11:32,717
9E,AUS,IND,2026-04-15T23:50,920
US,DCA,PIT,2026-06-15T10:30,205
CO,SEA,Iah,2026-02-09T12:40,1874
OO,AZO,XNA,2026-06-15T11:00,623
FL,LAS,IND,2026-05-12T02:45,1591
DL,atl,SNA,2026-06-15T13:00,1919
NW,RAP,msP,2026-02-15T22:10,490
AA,ATL,LGA,2026-03-15T06:35,761
OH,GSO,BOS,2026-05-19T12:50,645
UA,IAD,BOS,2025-04-04T12:55,413
CO,SEA,EWR,2026-07-30T14:10,2401
DL,DCA,CVG,2026-04-04T15:55,411
AA,SFO,BOS,2026-04-04T05:20,2704
CO,LGA,cle,2024-01-01T00:00,418
YV,ONT,PHX,2026-06-15T14:20,325
XE,ABQ,ONT,2025-12-12T15:45,631
CO,IAH,SAV,2026-05-09T12:40,851
AS,LAX,ANC,2026-09-15T02:00,2345
MQ,DFW,LRD,2026-08-07T19:55,394
UA,DEN,ORD,2026-09-17T00:10,888
AS,HNL,ANC,2026-07-22T04:00,2777
OH,HPN,JFK,2026-01-05T19:30,30
